sequence_id	accession	scientific_name	sequence_length	header	source_db	retrieved_at_utc
Peromyscus_maniculatus_bairdii|XP_076418942.1	XP_076418942.1	Peromyscus maniculatus bairdii	805	XP_076418942.1 angiotensin-converting enzyme 2 [Peromyscus maniculatus bairdii]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Microcebus_murinus|XP_075855690.1	XP_075855690.1	Microcebus murinus	826	XP_075855690.1 angiotensin-converting enzyme 2 [Microcebus murinus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Microtus_pennsylvanicus|XP_075812906.1	XP_075812906.1	Microtus pennsylvanicus	804	XP_075812906.1 angiotensin-converting enzyme 2 [Microtus pennsylvanicus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Herpailurus_yagouaroundi|XP_040324139.1	XP_040324139.1	Herpailurus yagouaroundi	805	XP_040324139.1 angiotensin-converting enzyme 2 isoform X1 [Herpailurus yagouaroundi]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Tenrec_ecaudatus|XP_075394682.1	XP_075394682.1	Tenrec ecaudatus	825	XP_075394682.1 angiotensin-converting enzyme 2 [Tenrec ecaudatus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Rhinolophus_sinicus|XP_074179505.1	XP_074179505.1	Rhinolophus sinicus	805	XP_074179505.1 angiotensin-converting enzyme 2 [Rhinolophus sinicus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Saimiri_boliviensis|XP_010334925.2	XP_010334925.2	Saimiri boliviensis	805	XP_010334925.2 angiotensin-converting enzyme 2 isoform X1 [Saimiri boliviensis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Camelus_bactrianus|XP_074215638.1	XP_074215638.1	Camelus bactrianus	805	XP_074215638.1 angiotensin-converting enzyme 2 [Camelus bactrianus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Sminthopsis_crassicaudata|XP_074156032.1	XP_074156032.1	Sminthopsis crassicaudata	806	XP_074156032.1 angiotensin-converting enzyme 2 [Sminthopsis crassicaudata]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Macrotis_lagotis|XP_074048495.1	XP_074048495.1	Macrotis lagotis	822	XP_074048495.1 angiotensin-converting enzyme 2 isoform X1 [Macrotis lagotis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Castor_canadensis|XP_073920481.1	XP_073920481.1	Castor canadensis	805	XP_073920481.1 angiotensin-converting enzyme 2 [Castor canadensis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Macaca_fascicularis|XP_005593094.3	XP_005593094.3	Macaca fascicularis	805	XP_005593094.3 angiotensin-converting enzyme 2 [Macaca fascicularis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Callorhinus_ursinus|XP_025713397.2	XP_025713397.2	Callorhinus ursinus	806	XP_025713397.2 angiotensin-converting enzyme 2 [Callorhinus ursinus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Tursiops_truncatus|XP_019781177.2	XP_019781177.2	Tursiops truncatus	804	XP_019781177.2 angiotensin-converting enzyme 2 isoform X1 [Tursiops truncatus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Rattus_norvegicus|NP_001012006.1	NP_001012006.1	Rattus norvegicus	805	NP_001012006.1 angiotensin-converting enzyme 2 precursor [Rattus norvegicus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Bos_taurus|XP_024843618.1	XP_024843618.1	Bos taurus	811	XP_024843618.1 angiotensin-converting enzyme 2 isoform X1 [Bos taurus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Felis_catus|NP_001034545.1	NP_001034545.1	Felis catus	805	NP_001034545.1 angiotensin-converting enzyme 2 precursor [Felis catus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Manis_javanica|XP_073083423.1	XP_073083423.1	Manis javanica	805	XP_073083423.1 angiotensin-converting enzyme 2 [Manis javanica]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Chlorocebus_sabaeus|XP_037842285.1	XP_037842285.1	Chlorocebus sabaeus	805	XP_037842285.1 angiotensin-converting enzyme 2 [Chlorocebus sabaeus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Vicugna_pacos|XP_006212709.2	XP_006212709.2	Vicugna pacos	805	XP_006212709.2 angiotensin-converting enzyme 2 [Vicugna pacos]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Gorilla_gorilla_gorilla|XP_063559059.1	XP_063559059.1	Gorilla gorilla gorilla	805	XP_063559059.1 angiotensin-converting enzyme 2 [Gorilla gorilla gorilla]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Mustela_putorius_furo|NP_001297119.1	NP_001297119.1	Mustela putorius furo	805	NP_001297119.1 angiotensin-converting enzyme 2 precursor [Mustela putorius furo]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Capra_hircus|NP_001277036.1	NP_001277036.1	Capra hircus	804	NP_001277036.1 angiotensin-converting enzyme 2 precursor [Capra hircus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Chinchilla_lanigera|XP_013362429.1	XP_013362429.1	Chinchilla lanigera	805	XP_013362429.1 PREDICTED: angiotensin-converting enzyme 2 isoform X1 [Chinchilla lanigera]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Canis_lupus_familiaris|NP_001158732.1	NP_001158732.1	Canis lupus familiaris	804	NP_001158732.1 angiotensin-converting enzyme 2 precursor [Canis lupus familiaris]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Sus_scrofa|NP_001116542.1	NP_001116542.1	Sus scrofa	805	NP_001116542.1 angiotensin-converting enzyme 2 precursor [Sus scrofa]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Canis_lupus_baileyi|XP_072671637.1	XP_072671637.1	Canis lupus baileyi	804	XP_072671637.1 angiotensin-converting enzyme 2 [Canis lupus baileyi]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Vulpes_vulpes|XP_025842513.2	XP_025842513.2	Vulpes vulpes	804	XP_025842513.2 angiotensin-converting enzyme 2 [Vulpes vulpes]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Homo_sapiens|NP_001358344.1	NP_001358344.1	Homo sapiens	805	NP_001358344.1 angiotensin-converting enzyme 2 isoform 1 precursor [Homo sapiens]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Notamacropus_eugenii|XP_072470407.1	XP_072470407.1	Notamacropus eugenii	807	XP_072470407.1 angiotensin-converting enzyme 2 [Notamacropus eugenii]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Marmota_flaviventris|XP_071462139.1	XP_071462139.1	Marmota flaviventris	807	XP_071462139.1 angiotensin-converting enzyme 2 isoform X1 [Marmota flaviventris]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Desmodus_rotundus|XP_024425698.2	XP_024425698.2	Desmodus rotundus	804	XP_024425698.2 angiotensin-converting enzyme 2 [Desmodus rotundus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Dasypus_novemcinctus|XP_004449124.1	XP_004449124.1	Dasypus novemcinctus	804	XP_004449124.1 angiotensin-converting enzyme 2 [Dasypus novemcinctus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Physeter_macrocephalus|XP_054942302.1	XP_054942302.1	Physeter macrocephalus	804	XP_054942302.1 angiotensin-converting enzyme 2 isoform X2 [Physeter macrocephalus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Bos_indicus|XP_019811719.2	XP_019811719.2	Bos indicus	811	XP_019811719.2 angiotensin-converting enzyme 2 isoform X1 [Bos indicus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Equus_przewalskii|XP_070459854.1	XP_070459854.1	Equus przewalskii	805	XP_070459854.1 angiotensin-converting enzyme 2 [Equus przewalskii]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Odocoileus_virginianus|XP_070318734.1	XP_070318734.1	Odocoileus virginianus	804	XP_070318734.1 angiotensin-converting enzyme 2 isoform X1 [Odocoileus virginianus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Equus_asinus|XP_044620396.1	XP_044620396.1	Equus asinus	805	XP_044620396.1 angiotensin-converting enzyme 2 [Equus asinus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Bos_mutus|XP_070221897.1	XP_070221897.1	Bos mutus	811	XP_070221897.1 angiotensin-converting enzyme 2 isoform X1 [Bos mutus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Ovis_canadensis|XP_070147446.1	XP_070147446.1	Ovis canadensis	811	XP_070147446.1 angiotensin-converting enzyme 2 isoform X1 [Ovis canadensis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Equus_caballus|XP_070113054.1	XP_070113054.1	Equus caballus	805	XP_070113054.1 angiotensin-converting enzyme 2 [Equus caballus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Oryctolagus_cuniculus|XP_002719891.2	XP_002719891.2	Oryctolagus cuniculus	805	XP_002719891.2 angiotensin-converting enzyme 2 [Oryctolagus cuniculus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Dipodomys_merriami|XP_069896933.1	XP_069896933.1	Dipodomys merriami	805	XP_069896933.1 angiotensin-converting enzyme 2 [Dipodomys merriami]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Eulemur_rufifrons|XP_069320478.1	XP_069320478.1	Eulemur rufifrons	831	XP_069320478.1 angiotensin-converting enzyme 2 isoform X1 [Eulemur rufifrons]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Petaurus_breviceps_papuanus|XP_068956741.1	XP_068956741.1	Petaurus breviceps papuanus	806	XP_068956741.1 angiotensin-converting enzyme 2 isoform X1 [Petaurus breviceps papuanus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Capricornis_sumatraensis|XP_068818345.1	XP_068818345.1	Capricornis sumatraensis	810	XP_068818345.1 angiotensin-converting enzyme 2 isoform X1 [Capricornis sumatraensis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Eschrichtius_robustus|XP_068389481.1	XP_068389481.1	Eschrichtius robustus	804	XP_068389481.1 angiotensin-converting enzyme 2 [Eschrichtius robustus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Alexandromys_fortis|XP_050016622.1	XP_050016622.1	Alexandromys fortis	805	XP_050016622.1 angiotensin-converting enzyme 2 [Alexandromys fortis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Pseudorca_crassidens|XP_067579138.1	XP_067579138.1	Pseudorca crassidens	804	XP_067579138.1 angiotensin-converting enzyme 2 isoform X1 [Pseudorca crassidens]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Kogia_breviceps|XP_066880271.1	XP_066880271.1	Kogia breviceps	804	XP_066880271.1 angiotensin-converting enzyme 2 [Kogia breviceps]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Symphalangus_syndactylus|XP_063490631.1	XP_063490631.1	Symphalangus syndactylus	805	XP_063490631.1 angiotensin-converting enzyme 2 isoform X1 [Symphalangus syndactylus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Saccopteryx_leptura|XP_066212217.1	XP_066212217.1	Saccopteryx leptura	813	XP_066212217.1 angiotensin-converting enzyme 2 [Saccopteryx leptura]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Saccopteryx_bilineata|XP_066104956.1	XP_066104956.1	Saccopteryx bilineata	813	XP_066104956.1 angiotensin-converting enzyme 2 [Saccopteryx bilineata]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Muntiacus_reevesi|XP_065771252.1	XP_065771252.1	Muntiacus reevesi	804	XP_065771252.1 angiotensin-converting enzyme 2 [Muntiacus reevesi]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Phocoena_phocoena|XP_065756439.1	XP_065756439.1	Phocoena phocoena	804	XP_065756439.1 LOW QUALITY PROTEIN: angiotensin-converting enzyme 2 [Phocoena phocoena]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Mirounga_angustirostris|XP_045742014.1	XP_045742014.1	Mirounga angustirostris	805	XP_045742014.1 angiotensin-converting enzyme 2 [Mirounga angustirostris]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Camelus_dromedarius|XP_031301717.1	XP_031301717.1	Camelus dromedarius	805	XP_031301717.1 angiotensin-converting enzyme 2 [Camelus dromedarius]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Aotus_nancymaae|XP_012290105.2	XP_012290105.2	Aotus nancymaae	805	XP_012290105.2 angiotensin-converting enzyme 2 [Aotus nancymaae]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Loxodonta_africana|XP_023410960.1	XP_023410960.1	Loxodonta africana	800	XP_023410960.1 angiotensin-converting enzyme 2 [Loxodonta africana]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Pongo_abelii|NP_001124604.1	NP_001124604.1	Pongo abelii	805	NP_001124604.1 angiotensin-converting enzyme 2 precursor [Pongo abelii]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Pteronotus_mesoamericanus|XP_054437165.1	XP_054437165.1	Pteronotus mesoamericanus	803	XP_054437165.1 angiotensin-converting enzyme 2 isoform X1 [Pteronotus mesoamericanus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Pan_troglodytes|XP_016798468.1	XP_016798468.1	Pan troglodytes	805	XP_016798468.1 angiotensin-converting enzyme 2 isoform X1 [Pan troglodytes]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Pongo_pygmaeus|XP_054327941.1	XP_054327941.1	Pongo pygmaeus	805	XP_054327941.1 angiotensin-converting enzyme 2 isoform X1 [Pongo pygmaeus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Pan_paniscus|XP_008972428.3	XP_008972428.3	Pan paniscus	805	XP_008972428.3 angiotensin-converting enzyme 2 [Pan paniscus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Cavia_porcellus|XP_063099001.1	XP_063099001.1	Cavia porcellus	813	XP_063099001.1 angiotensin-converting enzyme 2 [Cavia porcellus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Cynocephalus_volans|XP_062939076.1	XP_062939076.1	Cynocephalus volans	805	XP_062939076.1 angiotensin-converting enzyme 2 isoform X1 [Cynocephalus volans]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Bubalus_kerabau|XP_055419565.1	XP_055419565.1	Bubalus kerabau	803	XP_055419565.1 angiotensin-converting enzyme 2 [Bubalus kerabau]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Trichechus_manatus_latirostris|XP_004386381.1	XP_004386381.1	Trichechus manatus latirostris	800	XP_004386381.1 angiotensin-converting enzyme 2 [Trichechus manatus latirostris]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Lepus_europaeus|XP_062039638.1	XP_062039638.1	Lepus europaeus	805	XP_062039638.1 LOW QUALITY PROTEIN: angiotensin-converting enzyme 2 [Lepus europaeus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Bos_javanicus|XP_061264083.1	XP_061264083.1	Bos javanicus	811	XP_061264083.1 angiotensin-converting enzyme 2 isoform X1 [Bos javanicus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Eubalaena_glacialis|XP_061035520.1	XP_061035520.1	Eubalaena glacialis	804	XP_061035520.1 angiotensin-converting enzyme 2 [Eubalaena glacialis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Dama_dama|XP_060993300.1	XP_060993300.1	Dama dama	804	XP_060993300.1 angiotensin-converting enzyme 2 isoform X1 [Dama dama]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Ovis_aries|XP_042098228.1	XP_042098228.1	Ovis aries	811	XP_042098228.1 angiotensin-converting enzyme 2 isoform X1 [Ovis aries]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Meriones_unguiculatus|XP_060230507.1	XP_060230507.1	Meriones unguiculatus	805	XP_060230507.1 angiotensin-converting enzyme 2 [Meriones unguiculatus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Erinaceus_europaeus|XP_060038996.1	XP_060038996.1	Erinaceus europaeus	804	XP_060038996.1 angiotensin-converting enzyme 2 [Erinaceus europaeus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Sorex_fumeus|XP_055987157.1	XP_055987157.1	Sorex fumeus	796	XP_055987157.1 angiotensin-converting enzyme 2 [Sorex fumeus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Mesoplodon_densirostris|XP_059943105.1	XP_059943105.1	Mesoplodon densirostris	804	XP_059943105.1 angiotensin-converting enzyme 2 isoform X1 [Mesoplodon densirostris]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Balaenoptera_ricei|XP_059767321.1	XP_059767321.1	Balaenoptera ricei	804	XP_059767321.1 angiotensin-converting enzyme 2 [Balaenoptera ricei]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Myotis_daubentonii|XP_059535969.1	XP_059535969.1	Myotis daubentonii	819	XP_059535969.1 angiotensin-converting enzyme 2 isoform X1 [Myotis daubentonii]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Mustela_nigripes|XP_059241021.1	XP_059241021.1	Mustela nigripes	805	XP_059241021.1 angiotensin-converting enzyme 2 [Mustela nigripes]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Peromyscus_eremicus|XP_059106681.1	XP_059106681.1	Peromyscus eremicus	805	XP_059106681.1 angiotensin-converting enzyme 2 [Peromyscus eremicus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Mustela_lutreola|XP_059013893.1	XP_059013893.1	Mustela lutreola	805	XP_059013893.1 angiotensin-converting enzyme 2 [Mustela lutreola]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Neofelis_nebulosa|XP_058568771.1	XP_058568771.1	Neofelis nebulosa	805	XP_058568771.1 angiotensin-converting enzyme 2 isoform X1 [Neofelis nebulosa]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Ochotona_princeps|XP_004597549.4	XP_004597549.4	Ochotona princeps	808	XP_004597549.4 angiotensin-converting enzyme 2 [Ochotona princeps]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Marmota_monax|XP_058428552.1	XP_058428552.1	Marmota monax	817	XP_058428552.1 angiotensin-converting enzyme 2 [Marmota monax]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Diceros_bicornis_minor|XP_058391461.1	XP_058391461.1	Diceros bicornis minor	805	XP_058391461.1 angiotensin-converting enzyme 2 isoform X1 [Diceros bicornis minor]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Hylobates_moloch|XP_058297387.1	XP_058297387.1	Hylobates moloch	805	XP_058297387.1 angiotensin-converting enzyme 2 [Hylobates moloch]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Hippopotamus_amphibius_kiboko|XP_057573707.1	XP_057573707.1	Hippopotamus amphibius kiboko	804	XP_057573707.1 angiotensin-converting enzyme 2 isoform X1 [Hippopotamus amphibius kiboko]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Chionomys_nivalis|XP_057615966.1	XP_057615966.1	Chionomys nivalis	804	XP_057615966.1 angiotensin-converting enzyme 2 [Chionomys nivalis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
