accession	protein_id	header	sequence_length	source_db	retrieved_at_utc	query
XP_080574402.1	3244640387	XP_080574402.1 angiotensin-converting enzyme 2 isoform 1 [Muscardinus avellanarius]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_079584085.1	3190371859	XP_079584085.1 angiotensin-converting enzyme 2 [Hyperoodon ampullatus]	565	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_079621363.1	3190190632	XP_079621363.1 angiotensin-converting enzyme 2 [Cnephaeus nilssonii]	811	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_078979271.1	3187068689	XP_078979271.1 angiotensin-converting enzyme 2 isoform 1 [Sciurus vulgaris]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_078979270.1	3187068687	XP_078979270.1 angiotensin-converting enzyme 2 isoform 1 [Sciurus vulgaris]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_078979269.1	3187068685	XP_078979269.1 angiotensin-converting enzyme 2 isoform 1 [Sciurus vulgaris]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
NP_001129168.1	208973222	NP_001129168.1 angiotensin-converting enzyme 2 precursor [Macaca mulatta]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_078219696.1	3137506899	XP_078219696.1 angiotensin-converting enzyme 2 [Callithrix jacchus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_008987241.1	675765555	XP_008987241.1 angiotensin-converting enzyme 2 [Callithrix jacchus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
NP_001123985.1	194473667	NP_001123985.1 angiotensin-converting enzyme 2 precursor [Mus musculus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
NP_081562.2	83582782	NP_081562.2 angiotensin-converting enzyme 2 precursor [Mus musculus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_011361275.1	759128162	XP_011361275.1 angiotensin-converting enzyme 2 [Pteropus vampyrus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_078002220.1	3131076712	XP_078002220.1 LOW QUALITY PROTEIN: angiotensin-converting enzyme 2 [Phascolarctos cinereus]	807	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_039729365.1	1995963264	XP_039729365.1 angiotensin-converting enzyme 2 [Pteropus medius]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_077921092.1	3130596905	XP_077921092.1 angiotensin-converting enzyme 2 isoform X5 [Halichoerus grypus]	640	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_077921091.1	3130596901	XP_077921091.1 angiotensin-converting enzyme 2 isoform X4 [Halichoerus grypus]	661	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_077921090.1	3130596897	XP_077921090.1 angiotensin-converting enzyme 2 isoform X3 [Halichoerus grypus]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_077921089.1	3130596893	XP_077921089.1 angiotensin-converting enzyme 2 isoform X2 [Halichoerus grypus]	798	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_077921088.1	3130596889	XP_077921088.1 angiotensin-converting enzyme 2 isoform X1 [Halichoerus grypus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_040146332.2	3130284850	XP_040146332.2 angiotensin-converting enzyme 2 isoform X2 [Ictidomys tridecemlineatus]	783	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_005316051.4	3130284848	XP_005316051.4 angiotensin-converting enzyme 2 isoform X1 [Ictidomys tridecemlineatus]	817	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_077844089.1	3129570307	XP_077844089.1 angiotensin-converting enzyme 2 isoform X1 [Macaca mulatta]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_014982444.3	3129570305	XP_014982444.3 angiotensin-converting enzyme 2 isoform X1 [Macaca mulatta]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_077743714.1	3127712338	XP_077743714.1 angiotensin-converting enzyme 2 [Canis aureus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_077743713.1	3127712336	XP_077743713.1 angiotensin-converting enzyme 2 [Canis aureus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_077650019.1	3120548076	XP_077650019.1 angiotensin-converting enzyme 2 isoform X2 [Urocitellus parryii]	696	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_026252505.2	3120548072	XP_026252505.2 angiotensin-converting enzyme 2 isoform X1 [Urocitellus parryii]	807	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_077625771.1	3117518157	XP_077625771.1 angiotensin-converting enzyme 2 isoform X2 [Crocuta crocuta]	791	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_077625770.1	3117518155	XP_077625770.1 angiotensin-converting enzyme 2 isoform X1 [Crocuta crocuta]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_077625769.1	3117518153	XP_077625769.1 angiotensin-converting enzyme 2 isoform X1 [Crocuta crocuta]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_077002464.1	3064430897	XP_077002464.1 angiotensin-converting enzyme 2 isoform X2 [Tamandua tetradactyla]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_077002463.1	3064430895	XP_077002463.1 angiotensin-converting enzyme 2 isoform X1 [Tamandua tetradactyla]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_076962748.1	3064212221	XP_076962748.1 angiotensin-converting enzyme 2 isoform X2 [Callospermophilus lateralis]	786	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_076962747.1	3064212219	XP_076962747.1 angiotensin-converting enzyme 2 isoform X1 [Callospermophilus lateralis]	817	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_034341939.1	1842217276	XP_034341939.1 angiotensin-converting enzyme 2 [Arvicanthis niloticus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_076418942.1	3053604878	XP_076418942.1 angiotensin-converting enzyme 2 [Peromyscus maniculatus bairdii]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_006973269.1	589920411	XP_006973269.1 angiotensin-converting enzyme 2 [Peromyscus maniculatus bairdii]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_075855690.1	3037593423	XP_075855690.1 angiotensin-converting enzyme 2 [Microcebus murinus]	826	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_075812906.1	3037442974	XP_075812906.1 angiotensin-converting enzyme 2 [Microtus pennsylvanicus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_040324142.1	2020858733	XP_040324142.1 angiotensin-converting enzyme 2 isoform X3 [Herpailurus yagouaroundi]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_040324141.1	2020858731	XP_040324141.1 angiotensin-converting enzyme 2 isoform X3 [Herpailurus yagouaroundi]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_040324140.1	2020858729	XP_040324140.1 angiotensin-converting enzyme 2 isoform X2 [Herpailurus yagouaroundi]	744	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_040324139.1	2020858727	XP_040324139.1 angiotensin-converting enzyme 2 isoform X1 [Herpailurus yagouaroundi]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_040324138.1	2020858725	XP_040324138.1 angiotensin-converting enzyme 2 isoform X1 [Herpailurus yagouaroundi]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_075394682.1	3027903338	XP_075394682.1 angiotensin-converting enzyme 2 [Tenrec ecaudatus]	825	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074179505.1	2994254472	XP_074179505.1 angiotensin-converting enzyme 2 [Rhinolophus sinicus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_019601896.2	2994254470	XP_019601896.2 angiotensin-converting enzyme 2 [Rhinolophus sinicus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074247473.1	2993511306	XP_074247473.1 angiotensin-converting enzyme 2 isoform X2 [Saimiri boliviensis]	446	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_010334925.2	1984069663	XP_010334925.2 angiotensin-converting enzyme 2 isoform X1 [Saimiri boliviensis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074215638.1	2992121175	XP_074215638.1 angiotensin-converting enzyme 2 [Camelus bactrianus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_010966303.1	743743461	XP_010966303.1 angiotensin-converting enzyme 2 [Camelus bactrianus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074156032.1	2990562740	XP_074156032.1 angiotensin-converting enzyme 2 [Sminthopsis crassicaudata]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074156031.1	2990562738	XP_074156031.1 angiotensin-converting enzyme 2 [Sminthopsis crassicaudata]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074156030.1	2990562736	XP_074156030.1 angiotensin-converting enzyme 2 [Sminthopsis crassicaudata]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074156029.1	2990562734	XP_074156029.1 angiotensin-converting enzyme 2 [Sminthopsis crassicaudata]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074048496.1	2990475324	XP_074048496.1 angiotensin-converting enzyme 2 isoform X2 [Macrotis lagotis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074048495.1	2990475322	XP_074048495.1 angiotensin-converting enzyme 2 isoform X1 [Macrotis lagotis]	822	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074048494.1	2990475320	XP_074048494.1 angiotensin-converting enzyme 2 isoform X1 [Macrotis lagotis]	822	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074048493.1	2990475318	XP_074048493.1 angiotensin-converting enzyme 2 isoform X1 [Macrotis lagotis]	822	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074048492.1	2990475316	XP_074048492.1 angiotensin-converting enzyme 2 isoform X1 [Macrotis lagotis]	822	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074048491.1	2990475314	XP_074048491.1 angiotensin-converting enzyme 2 isoform X1 [Macrotis lagotis]	822	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074048490.1	2990475312	XP_074048490.1 angiotensin-converting enzyme 2 isoform X1 [Macrotis lagotis]	822	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074048489.1	2990475310	XP_074048489.1 angiotensin-converting enzyme 2 isoform X1 [Macrotis lagotis]	822	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074048488.1	2990475308	XP_074048488.1 angiotensin-converting enzyme 2 isoform X1 [Macrotis lagotis]	822	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074048487.1	2990475306	XP_074048487.1 angiotensin-converting enzyme 2 isoform X1 [Macrotis lagotis]	822	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074048486.1	2990475304	XP_074048486.1 angiotensin-converting enzyme 2 isoform X1 [Macrotis lagotis]	822	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074048485.1	2990475302	XP_074048485.1 angiotensin-converting enzyme 2 isoform X1 [Macrotis lagotis]	822	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
