sequence_id	status	protein_ungapped_length	translated_cds_length	codon_alignment_length	internal_stop_codons	ambiguous_codons
Felis_catus|NP_001034545.1	codon_alignment_pass	805	805	2934	0	0
Manis_javanica|XP_073083423.1	codon_alignment_pass	805	805	2934	0	0
Chlorocebus_sabaeus|XP_037842285.1	codon_alignment_pass	805	805	2934	0	0
Vicugna_pacos|XP_006212709.2	codon_alignment_pass	805	805	2934	0	0
Gorilla_gorilla_gorilla|XP_063559059.1	codon_alignment_pass	805	805	2934	0	0
Mustela_putorius_furo|NP_001297119.1	codon_alignment_pass	805	805	2934	0	0
Capra_hircus|NP_001277036.1	codon_alignment_pass	804	804	2934	0	0
Chinchilla_lanigera|XP_013362429.1	codon_alignment_pass	805	805	2934	0	0
Canis_lupus_familiaris|NP_001158732.1	codon_alignment_pass	804	804	2934	0	0
Sus_scrofa|NP_001116542.1	codon_alignment_pass	805	805	2934	0	0
Canis_lupus_baileyi|XP_072671637.1	codon_alignment_pass	804	804	2934	0	0
Vulpes_vulpes|XP_025842513.2	codon_alignment_pass	804	804	2934	0	0
Homo_sapiens|NP_001358344.1	codon_alignment_pass	805	805	2934	0	0
Notamacropus_eugenii|XP_072470407.1	codon_alignment_pass	807	807	2934	0	0
Marmota_flaviventris|XP_071462139.1	codon_alignment_pass	807	807	2934	0	0
Desmodus_rotundus|XP_024425698.2	codon_alignment_pass	804	804	2934	0	0
Dasypus_novemcinctus|XP_004449124.1	codon_alignment_pass	804	804	2934	0	0
Physeter_macrocephalus|XP_054942302.1	codon_alignment_pass	804	804	2934	0	0
Bos_indicus|XP_019811719.2	codon_alignment_pass	811	811	2934	0	0
Equus_przewalskii|XP_070459854.1	codon_alignment_pass	805	805	2934	0	0
Odocoileus_virginianus|XP_070318734.1	codon_alignment_pass	804	804	2934	0	0
Equus_asinus|XP_044620396.1	codon_alignment_pass	805	805	2934	0	0
Bos_mutus|XP_070221897.1	codon_alignment_pass	811	811	2934	0	0
Ovis_canadensis|XP_070147446.1	codon_alignment_pass	811	811	2934	0	0
Equus_caballus|XP_070113054.1	codon_alignment_pass	805	805	2934	0	0
Oryctolagus_cuniculus|XP_002719891.2	codon_alignment_pass	805	805	2934	0	0
Dipodomys_merriami|XP_069896933.1	codon_alignment_pass	805	805	2934	0	0
Eulemur_rufifrons|XP_069320478.1	codon_alignment_pass	831	831	2934	0	0
Petaurus_breviceps_papuanus|XP_068956741.1	codon_alignment_pass	806	806	2934	0	0
Capricornis_sumatraensis|XP_068818345.1	codon_alignment_pass	810	810	2934	0	0
Eschrichtius_robustus|XP_068389481.1	codon_alignment_pass	804	804	2934	0	0
Alexandromys_fortis|XP_050016622.1	codon_alignment_pass	805	805	2934	0	0
Pseudorca_crassidens|XP_067579138.1	codon_alignment_pass	804	804	2934	0	0
Kogia_breviceps|XP_066880271.1	codon_alignment_pass	804	804	2934	0	0
Symphalangus_syndactylus|XP_063490631.1	codon_alignment_pass	805	805	2934	0	0
Saccopteryx_leptura|XP_066212217.1	codon_alignment_pass	813	813	2934	0	0
Saccopteryx_bilineata|XP_066104956.1	codon_alignment_pass	813	813	2934	0	0
Muntiacus_reevesi|XP_065771252.1	codon_alignment_pass	804	804	2934	0	0
Phocoena_phocoena|XP_065756439.1	excluded_internal_stop	804	804	0	1	0
Mirounga_angustirostris|XP_045742014.1	codon_alignment_pass	805	805	2934	0	0
Camelus_dromedarius|XP_031301717.1	codon_alignment_pass	805	805	2934	0	0
Aotus_nancymaae|XP_012290105.2	codon_alignment_pass	805	805	2934	0	0
Loxodonta_africana|XP_023410960.1	codon_alignment_pass	800	800	2934	0	0
Pongo_abelii|NP_001124604.1	codon_alignment_pass	805	805	2934	0	0
Pteronotus_mesoamericanus|XP_054437165.1	codon_alignment_pass	803	803	2934	0	0
Pan_troglodytes|XP_016798468.1	codon_alignment_pass	805	805	2934	0	0
Pongo_pygmaeus|XP_054327941.1	codon_alignment_pass	805	805	2934	0	0
Pan_paniscus|XP_008972428.3	codon_alignment_pass	805	805	2934	0	0
Cavia_porcellus|XP_063099001.1	codon_alignment_pass	813	813	2934	0	0
Cynocephalus_volans|XP_062939076.1	codon_alignment_pass	805	805	2934	0	0
Bubalus_kerabau|XP_055419565.1	codon_alignment_pass	803	803	2934	0	0
Trichechus_manatus_latirostris|XP_004386381.1	codon_alignment_pass	800	800	2934	0	0
Lepus_europaeus|XP_062039638.1	excluded_ambiguous_codon	805	805	0	0	1
Bos_javanicus|XP_061264083.1	codon_alignment_pass	811	811	2934	0	0
Eubalaena_glacialis|XP_061035520.1	codon_alignment_pass	804	804	2934	0	0
Dama_dama|XP_060993300.1	codon_alignment_pass	804	804	2934	0	0
Ovis_aries|XP_042098228.1	codon_alignment_pass	811	811	2934	0	0
Meriones_unguiculatus|XP_060230507.1	codon_alignment_pass	805	805	2934	0	0
Erinaceus_europaeus|XP_060038996.1	codon_alignment_pass	804	804	2934	0	0
Sorex_fumeus|XP_055987157.1	codon_alignment_pass	796	796	2934	0	0
Mesoplodon_densirostris|XP_059943105.1	codon_alignment_pass	804	804	2934	0	0
Balaenoptera_ricei|XP_059767321.1	codon_alignment_pass	804	804	2934	0	0
Myotis_daubentonii|XP_059535969.1	codon_alignment_pass	819	819	2934	0	0
Mustela_nigripes|XP_059241021.1	codon_alignment_pass	805	805	2934	0	0
Peromyscus_eremicus|XP_059106681.1	codon_alignment_pass	805	805	2934	0	0
Mustela_lutreola|XP_059013893.1	codon_alignment_pass	805	805	2934	0	0
Neofelis_nebulosa|XP_058568771.1	codon_alignment_pass	805	805	2934	0	0
Ochotona_princeps|XP_004597549.4	codon_alignment_pass	808	808	2934	0	0
Marmota_monax|XP_058428552.1	codon_alignment_pass	817	817	2934	0	0
Diceros_bicornis_minor|XP_058391461.1	codon_alignment_pass	805	805	2934	0	0
Hylobates_moloch|XP_058297387.1	codon_alignment_pass	805	805	2934	0	0
Hippopotamus_amphibius_kiboko|XP_057573707.1	codon_alignment_pass	804	804	2934	0	0
Chionomys_nivalis|XP_057615966.1	codon_alignment_pass	804	804	2934	0	0
Manis_pentadactyla|XP_036768816.2	codon_alignment_pass	805	805	2934	0	0
Ursus_arctos|XP_057166214.1	codon_alignment_pass	805	805	2934	0	0
Monodelphis_domestica|XP_007500939.2	codon_alignment_pass	806	806	2934	0	0
Psammomys_obesus|XP_055471740.1	codon_alignment_pass	805	805	2934	0	0
Moschus_berezovskii|XP_055294140.1	codon_alignment_pass	804	804	2934	0	0
Nyctereutes_procyonoides|XP_055195066.1	codon_alignment_pass	804	804	2934	0	0
Sorex_araneus|XP_004612266.1	codon_alignment_pass	803	803	2934	0	0
Acinonyx_jubatus|XP_053058075.1	codon_alignment_pass	805	805	2934	0	0
Eptesicus_fuscus|XP_008153150.2	codon_alignment_pass	811	811	2934	0	0
Talpa_occidentalis|XP_037369021.1	codon_alignment_pass	802	802	2934	0	0
Nycticebus_coucang|XP_053436341.1	codon_alignment_pass	805	805	2934	0	0
Artibeus_jamaicensis|XP_037013451.2	codon_alignment_pass	804	804	2934	0	0
Prionailurus_viverrinus|XP_047700805.1	codon_alignment_pass	805	805	2934	0	0
Phacochoerus_africanus|XP_047621781.1	codon_alignment_pass	805	805	2934	0	0
Lutra_lutra|XP_047571538.1	codon_alignment_pass	805	805	2934	0	0
Sciurus_carolinensis|XP_047391638.1	codon_alignment_pass	805	805	2934	0	0
Lynx_rufus|XP_046931882.1	codon_alignment_pass	683	683	2934	0	0
Equus_quagga|XP_046528602.1	codon_alignment_pass	805	805	2934	0	0
Orcinus_orca|XP_033283819.1	codon_alignment_pass	804	804	2934	0	0
Panthera_pardus|XP_019273509.1	codon_alignment_pass	805	805	2934	0	0
Panthera_uncia|XP_049499446.1	codon_alignment_pass	805	805	2934	0	0
Rhinolophus_ferrumequinum|XP_032963186.1	codon_alignment_pass	805	805	2934	0	0
Phodopus_roborovskii|XP_051035166.1	codon_alignment_pass	805	805	2934	0	0
Elephas_maximus_indicus|XP_049729321.1	codon_alignment_pass	800	800	2934	0	0
Suncus_etruscus|XP_049622744.1	codon_alignment_pass	803	803	2934	0	0
Budorcas_taxicolor|XP_052519536.1	codon_alignment_pass	810	810	2934	0	0
Apodemus_sylvaticus|XP_052027647.1	codon_alignment_pass	805	805	2934	0	0
Antechinus_flavipes|XP_051840427.1	codon_alignment_pass	806	806	2934	0	0
Acomys_russatus|XP_050998310.1	codon_alignment_pass	805	805	2934	0	0
Macaca_thibetana_thibetana|XP_050633586.1	codon_alignment_pass	805	805	2934	0	0
Peromyscus_californicus_insignis|XP_052600713.1	codon_alignment_pass	805	805	2934	0	0
Canis_lupus_dingo|XP_025292925.3	codon_alignment_pass	804	804	2934	0	0
Marmota_marmota_marmota|XP_048652301.1	codon_alignment_pass	817	817	2934	0	0
Myodes_glareolus|XP_048296586.1	codon_alignment_pass	812	812	2934	0	0
Perognathus_longimembris_pacificus|XP_048192746.1	codon_alignment_pass	805	805	2934	0	0
Meles_meles|XP_045850934.1	codon_alignment_pass	852	852	2934	0	0
Ursus_americanus|XP_045661026.1	codon_alignment_pass	805	805	2934	0	0
Phyllostomus_hastatus|XP_045711877.1	codon_alignment_pass	805	805	2934	0	0
Pipistrellus_kuhlii|XP_036295422.1	codon_alignment_pass	803	803	2934	0	0
Leopardus_geoffroyi|XP_045327193.1	codon_alignment_pass	805	805	2934	0	0
Echinops_telfairi|XP_004710002.2	codon_alignment_pass	824	824	2934	0	0
Bubalus_bubalis|XP_006041602.1	codon_alignment_pass	803	803	2934	0	0
Jaculus_jaculus|XP_004671523.1	codon_alignment_pass	805	805	2934	0	0
Neomonachus_schauinslandi|XP_021536480.1	codon_alignment_pass	805	805	2934	0	0
Neogale_vison|XP_044091953.1	codon_alignment_pass	805	805	2934	0	0
Dromiciops_gliroides|XP_043850607.1	codon_alignment_pass	807	807	2934	0	0
Cervus_elaphus|XP_043752042.1	codon_alignment_pass	804	804	2934	0	0
Prionailurus_bengalensis|XP_043425608.1	codon_alignment_pass	805	805	2934	0	0
Cervus_canadensis|XP_043314478.1	codon_alignment_pass	804	804	2934	0	0
Panthera_tigris|XP_042830021.1	codon_alignment_pass	805	805	2934	0	0
Orycteropus_afer_afer|XP_007951028.1	codon_alignment_pass	799	799	2934	0	0
Dipodomys_spectabilis|XP_042536456.1	codon_alignment_pass	805	805	2934	0	0
Arvicola_amphibius|XP_038172229.1	codon_alignment_pass	804	804	2934	0	0
Vulpes_lagopus|XP_041597789.1	codon_alignment_pass	804	804	2934	0	0
Microtus_oregoni|XP_041495910.1	codon_alignment_pass	804	804	2934	0	0
Ochotona_curzoniae|XP_040857138.1	codon_alignment_pass	805	805	2934	0	0
Mesocricetus_auratus|XP_005074266.1	codon_alignment_pass	805	805	2934	0	0
Ursus_maritimus|XP_040490052.1	codon_alignment_pass	805	805	2934	0	0
Oryx_dammah|XP_040122515.1	codon_alignment_pass	804	804	2934	0	0
Ornithorhynchus_anatinus|XP_001515597.2	codon_alignment_pass	806	806	2934	0	0
Hyaena_hyaena|XP_039089863.1	codon_alignment_pass	805	805	2934	0	0
Tachyglossus_aculeatus|XP_038612998.1	codon_alignment_pass	804	804	2934	0	0
Cebus_imitator|XP_017367866.1	excluded_ambiguous_codon	805	805	0	0	1
Choloepus_didactylus|XP_037678579.1	codon_alignment_pass	803	803	2934	0	0
Peromyscus_leucopus|XP_028743609.1	codon_alignment_pass	805	805	2934	0	0
Balaenoptera_musculus|XP_036696353.1	codon_alignment_pass	804	804	2934	0	0
Trichosurus_vulpecula|XP_036600738.1	codon_alignment_pass	807	807	2934	0	0
Myotis_myotis|XP_036161734.1	codon_alignment_pass	819	819	2934	0	0
Molossus_molossus|XP_036127493.1	codon_alignment_pass	804	804	2934	0	0
Rousettus_aegyptiacus|XP_015974412.2	codon_alignment_pass	805	805	2934	0	0
Onychomys_torridus|XP_036030683.1	codon_alignment_pass	805	805	2934	0	0
Lynx_canadensis|XP_030160839.1	codon_alignment_pass	805	805	2934	0	0
Phyllostomus_discolor|XP_035872276.1	codon_alignment_pass	806	806	2934	0	0
Zalophus_californianus|XP_027465354.1	codon_alignment_pass	806	806	2934	0	0
Cricetulus_griseus|XP_027288607.1	codon_alignment_pass	805	805	2934	0	0
Mirounga_leonina|XP_034852450.1	codon_alignment_pass	805	805	2934	0	0
Ailuropoda_melanoleuca|XP_034505781.1	codon_alignment_pass	705	705	2934	0	0
Fukomys_damarensis|XP_010643477.1	codon_alignment_pass	805	805	2934	0	0
Trachypithecus_francoisi|XP_033056809.1	excluded_ambiguous_codon	805	805	0	0	2
Rattus_rattus|XP_032746145.1	codon_alignment_pass	793	793	2934	0	0
Lontra_canadensis|XP_032736029.1	codon_alignment_pass	805	805	2934	0	0
Phocoena_sinus|XP_032476004.1	codon_alignment_pass	804	804	2934	0	0
Camelus_ferus|XP_006194263.1	codon_alignment_pass	805	805	2934	0	0
Phoca_vitulina|XP_032245506.1	codon_alignment_pass	805	805	2934	0	0
Mustela_erminea|XP_032187679.1	codon_alignment_pass	805	805	2934	0	0
Sapajus_apella|XP_032141855.1	codon_alignment_pass	805	805	2934	0	0
Sarcophilus_harrisii|XP_031814825.1	excluded_ambiguous_codon	806	806	0	0	1
Piliocolobus_tephrosceles|XP_023054821.1	codon_alignment_pass	805	805	2934	0	0
Papio_anubis|XP_021788733.1	codon_alignment_pass	805	805	2934	0	0
Mastomys_coucha|XP_031226742.1	codon_alignment_pass	806	806	2934	0	0
Rhinopithecus_roxellana|XP_010364367.2	codon_alignment_pass	805	805	2934	0	0
Nomascus_leucogenys|XP_003261132.2	codon_alignment_pass	805	805	2934	0	0
Delphinapterus_leucas|XP_022418360.1	codon_alignment_pass	804	804	2934	0	0
Suricata_suricatta|XP_029786256.1	codon_alignment_pass	805	805	2934	0	0
Nannospalax_galili|XP_008839098.1	codon_alignment_pass	804	804	2934	0	0
Mus_pahari|XP_021043935.1	codon_alignment_pass	805	805	2934	0	0
Mus_caroli|XP_021009138.1	codon_alignment_pass	805	805	2934	0	0
Monodon_monoceros|XP_029095808.1	codon_alignment_pass	804	804	2934	0	0
Grammomys_surdaster|XP_028617962.1	codon_alignment_pass	805	805	2934	0	0
Eumetopias_jubatus|XP_027970822.1	codon_alignment_pass	806	806	2934	0	0
Vombatus_ursinus|XP_027691156.1	codon_alignment_pass	809	809	2934	0	0
Tupaia_chinensis|XP_006164754.1	codon_alignment_pass	805	805	2934	0	0
Bos_indicus_x_Bos_taurus|XP_027389728.1	codon_alignment_pass	811	811	2934	0	0
Microtus_ochrogaster|XP_005358818.1	codon_alignment_pass	804	804	2934	0	0
Puma_concolor|XP_025790417.1	codon_alignment_pass	805	805	2934	0	0
Theropithecus_gelada|XP_025227847.1	codon_alignment_pass	805	805	2934	0	0
Pteropus_alecto|XP_006911709.1	codon_alignment_pass	805	805	2934	0	0
Neophocaena_asiaeorientalis_asiaeorientalis|XP_024599894.1	codon_alignment_pass	804	804	2934	0	0
Myotis_lucifugus|XP_023609438.1	codon_alignment_pass	819	819	2934	0	0
Octodon_degus|XP_023575316.1	codon_alignment_pass	831	831	2934	0	0
Otolemur_garnettii|XP_003791912.1	codon_alignment_pass	805	805	2934	0	0
Carlito_syrichta|XP_008062810.1	codon_alignment_pass	805	805	2934	0	0
Heterocephalus_glaber|XP_004866157.1	codon_alignment_pass	805	805	2934	0	0
Hipposideros_armiger|XP_019522954.1	codon_alignment_pass	806	806	2934	0	0
Rhinopithecus_bieti|XP_017744070.1	codon_alignment_pass	724	724	2934	0	0
Miniopterus_natalensis|XP_016058453.1	codon_alignment_pass	804	804	2934	0	0
Myotis_davidii|XP_015426918.1	codon_alignment_pass	819	819	2934	0	0
Myotis_brandtii|XP_014399781.1	codon_alignment_pass	819	819	2934	0	0
Dipodomys_ordii|XP_012887572.1	codon_alignment_pass	805	805	2934	0	0
Condylura_cristata|XP_012585871.1	codon_alignment_pass	800	800	2934	0	0
Propithecus_coquereli|XP_012494186.1	codon_alignment_pass	826	826	2934	0	0
Odobenus_rosmarus_divergens|XP_004415448.1	codon_alignment_pass	732	732	2934	0	0
Cercocebus_atys|XP_011891201.1	codon_alignment_pass	805	805	2934	0	0
Mandrillus_leucophaeus|XP_011850923.1	codon_alignment_pass	805	805	2934	0	0
Lipotes_vexillifer|XP_007466389.1	codon_alignment_pass	804	804	2934	0	0
Chrysochloris_asiatica|XP_006835673.1	codon_alignment_pass	799	799	2934	0	0
Elephantulus_edwardii|XP_006892457.1	codon_alignment_pass	798	798	2934	0	0
