sequence_id	alignment_length	ungapped_length	gap_fraction	missing_fraction	qc_flag
Tamandua_tetradactyla|XP_077002463.1	978	804	0.177914	0.000000	pass
Callospermophilus_lateralis|XP_076962747.1	978	817	0.164622	0.000000	pass
Arvicanthis_niloticus|XP_034341939.1	978	805	0.176892	0.000000	pass
Peromyscus_maniculatus_bairdii|XP_076418942.1	978	805	0.176892	0.000000	pass
Microcebus_murinus|XP_075855690.1	978	826	0.155419	0.000000	pass
Microtus_pennsylvanicus|XP_075812906.1	978	804	0.177914	0.000000	pass
Herpailurus_yagouaroundi|XP_040324139.1	978	805	0.176892	0.000000	pass
Tenrec_ecaudatus|XP_075394682.1	978	825	0.156442	0.000000	pass
Rhinolophus_sinicus|XP_074179505.1	978	805	0.176892	0.000000	pass
Saimiri_boliviensis|XP_010334925.2	978	805	0.176892	0.000000	pass
Camelus_bactrianus|XP_074215638.1	978	805	0.176892	0.000000	pass
Sminthopsis_crassicaudata|XP_074156032.1	978	806	0.175869	0.000000	pass
Macrotis_lagotis|XP_074048495.1	978	822	0.159509	0.000000	pass
Castor_canadensis|XP_073920481.1	978	805	0.176892	0.000000	pass
Macaca_fascicularis|XP_005593094.3	978	805	0.176892	0.000000	pass
Callorhinus_ursinus|XP_025713397.2	978	806	0.175869	0.000000	pass
Tursiops_truncatus|XP_019781177.2	978	804	0.177914	0.000000	pass
Rattus_norvegicus|NP_001012006.1	978	805	0.176892	0.000000	pass
Bos_taurus|XP_024843618.1	978	811	0.170757	0.000000	pass
Felis_catus|NP_001034545.1	978	805	0.176892	0.000000	pass
Manis_javanica|XP_073083423.1	978	805	0.176892	0.000000	pass
Chlorocebus_sabaeus|XP_037842285.1	978	805	0.176892	0.000000	pass
Vicugna_pacos|XP_006212709.2	978	805	0.176892	0.000000	pass
Gorilla_gorilla_gorilla|XP_063559059.1	978	805	0.176892	0.000000	pass
Mustela_putorius_furo|NP_001297119.1	978	805	0.176892	0.000000	pass
Capra_hircus|NP_001277036.1	978	804	0.177914	0.000000	pass
Chinchilla_lanigera|XP_013362429.1	978	805	0.176892	0.000000	pass
Canis_lupus_familiaris|NP_001158732.1	978	804	0.177914	0.000000	pass
Sus_scrofa|NP_001116542.1	978	805	0.176892	0.000000	pass
Canis_lupus_baileyi|XP_072671637.1	978	804	0.177914	0.000000	pass
Vulpes_vulpes|XP_025842513.2	978	804	0.177914	0.000000	pass
Homo_sapiens|NP_001358344.1	978	805	0.176892	0.000000	pass
Notamacropus_eugenii|XP_072470407.1	978	807	0.174847	0.000000	pass
Marmota_flaviventris|XP_071462139.1	978	807	0.174847	0.000000	pass
Desmodus_rotundus|XP_024425698.2	978	804	0.177914	0.000000	pass
Dasypus_novemcinctus|XP_004449124.1	978	804	0.177914	0.000000	pass
Physeter_macrocephalus|XP_054942302.1	978	804	0.177914	0.000000	pass
Bos_indicus|XP_019811719.2	978	811	0.170757	0.000000	pass
Equus_przewalskii|XP_070459854.1	978	805	0.176892	0.000000	pass
Odocoileus_virginianus|XP_070318734.1	978	804	0.177914	0.000000	pass
Equus_asinus|XP_044620396.1	978	805	0.176892	0.000000	pass
Bos_mutus|XP_070221897.1	978	811	0.170757	0.000000	pass
Ovis_canadensis|XP_070147446.1	978	811	0.170757	0.000000	pass
Equus_caballus|XP_070113054.1	978	805	0.176892	0.000000	pass
Oryctolagus_cuniculus|XP_002719891.2	978	805	0.176892	0.000000	pass
Dipodomys_merriami|XP_069896933.1	978	805	0.176892	0.000000	pass
Eulemur_rufifrons|XP_069320478.1	978	831	0.150307	0.000000	pass
Petaurus_breviceps_papuanus|XP_068956741.1	978	806	0.175869	0.000000	pass
Capricornis_sumatraensis|XP_068818345.1	978	810	0.171779	0.000000	pass
Eschrichtius_robustus|XP_068389481.1	978	804	0.177914	0.000000	pass
Alexandromys_fortis|XP_050016622.1	978	805	0.176892	0.000000	pass
Pseudorca_crassidens|XP_067579138.1	978	804	0.177914	0.000000	pass
Kogia_breviceps|XP_066880271.1	978	804	0.177914	0.000000	pass
Symphalangus_syndactylus|XP_063490631.1	978	805	0.176892	0.000000	pass
Saccopteryx_leptura|XP_066212217.1	978	813	0.168712	0.000000	pass
Saccopteryx_bilineata|XP_066104956.1	978	813	0.168712	0.000000	pass
Muntiacus_reevesi|XP_065771252.1	978	804	0.177914	0.000000	pass
Phocoena_phocoena|XP_065756439.1	978	804	0.177914	0.001022	pass
Mirounga_angustirostris|XP_045742014.1	978	805	0.176892	0.000000	pass
Camelus_dromedarius|XP_031301717.1	978	805	0.176892	0.000000	pass
Aotus_nancymaae|XP_012290105.2	978	805	0.176892	0.000000	pass
Loxodonta_africana|XP_023410960.1	978	800	0.182004	0.000000	pass
Pongo_abelii|NP_001124604.1	978	805	0.176892	0.000000	pass
Pteronotus_mesoamericanus|XP_054437165.1	978	803	0.178937	0.000000	pass
Pan_troglodytes|XP_016798468.1	978	805	0.176892	0.000000	pass
Pongo_pygmaeus|XP_054327941.1	978	805	0.176892	0.000000	pass
Pan_paniscus|XP_008972428.3	978	805	0.176892	0.000000	pass
Cavia_porcellus|XP_063099001.1	978	813	0.168712	0.000000	pass
Cynocephalus_volans|XP_062939076.1	978	805	0.176892	0.000000	pass
Bubalus_kerabau|XP_055419565.1	978	803	0.178937	0.000000	pass
Trichechus_manatus_latirostris|XP_004386381.1	978	800	0.182004	0.000000	pass
Lepus_europaeus|XP_062039638.1	978	805	0.176892	0.001022	pass
Bos_javanicus|XP_061264083.1	978	811	0.170757	0.000000	pass
Eubalaena_glacialis|XP_061035520.1	978	804	0.177914	0.000000	pass
Dama_dama|XP_060993300.1	978	804	0.177914	0.000000	pass
Ovis_aries|XP_042098228.1	978	811	0.170757	0.000000	pass
Meriones_unguiculatus|XP_060230507.1	978	805	0.176892	0.000000	pass
Erinaceus_europaeus|XP_060038996.1	978	804	0.177914	0.000000	pass
Sorex_fumeus|XP_055987157.1	978	796	0.186094	0.000000	pass
Mesoplodon_densirostris|XP_059943105.1	978	804	0.177914	0.000000	pass
Balaenoptera_ricei|XP_059767321.1	978	804	0.177914	0.000000	pass
Myotis_daubentonii|XP_059535969.1	978	819	0.162577	0.000000	pass
Mustela_nigripes|XP_059241021.1	978	805	0.176892	0.000000	pass
Peromyscus_eremicus|XP_059106681.1	978	805	0.176892	0.000000	pass
Mustela_lutreola|XP_059013893.1	978	805	0.176892	0.000000	pass
Neofelis_nebulosa|XP_058568771.1	978	805	0.176892	0.000000	pass
Ochotona_princeps|XP_004597549.4	978	808	0.173824	0.000000	pass
Marmota_monax|XP_058428552.1	978	817	0.164622	0.000000	pass
Diceros_bicornis_minor|XP_058391461.1	978	805	0.176892	0.000000	pass
Hylobates_moloch|XP_058297387.1	978	805	0.176892	0.000000	pass
Hippopotamus_amphibius_kiboko|XP_057573707.1	978	804	0.177914	0.000000	pass
Chionomys_nivalis|XP_057615966.1	978	804	0.177914	0.000000	pass
Manis_pentadactyla|XP_036768816.2	978	805	0.176892	0.000000	pass
Ursus_arctos|XP_057166214.1	978	805	0.176892	0.000000	pass
Monodelphis_domestica|XP_007500939.2	978	806	0.175869	0.000000	pass
Psammomys_obesus|XP_055471740.1	978	805	0.176892	0.000000	pass
Moschus_berezovskii|XP_055294140.1	978	804	0.177914	0.000000	pass
Nyctereutes_procyonoides|XP_055195066.1	978	804	0.177914	0.000000	pass
Sorex_araneus|XP_004612266.1	978	803	0.178937	0.000000	pass
Acinonyx_jubatus|XP_053058075.1	978	805	0.176892	0.000000	pass
Eptesicus_fuscus|XP_008153150.2	978	811	0.170757	0.000000	pass
Talpa_occidentalis|XP_037369021.1	978	802	0.179959	0.000000	pass
Nycticebus_coucang|XP_053436341.1	978	805	0.176892	0.000000	pass
Artibeus_jamaicensis|XP_037013451.2	978	804	0.177914	0.000000	pass
Prionailurus_viverrinus|XP_047700805.1	978	805	0.176892	0.000000	pass
Phacochoerus_africanus|XP_047621781.1	978	805	0.176892	0.000000	pass
Lutra_lutra|XP_047571538.1	978	805	0.176892	0.000000	pass
Sciurus_carolinensis|XP_047391638.1	978	805	0.176892	0.000000	pass
Lynx_rufus|XP_046931882.1	978	683	0.301636	0.000000	gap_heavy
Equus_quagga|XP_046528602.1	978	805	0.176892	0.000000	pass
Orcinus_orca|XP_033283819.1	978	804	0.177914	0.000000	pass
Panthera_pardus|XP_019273509.1	978	805	0.176892	0.000000	pass
Panthera_uncia|XP_049499446.1	978	805	0.176892	0.000000	pass
Rhinolophus_ferrumequinum|XP_032963186.1	978	805	0.176892	0.000000	pass
Phodopus_roborovskii|XP_051035166.1	978	805	0.176892	0.000000	pass
Elephas_maximus_indicus|XP_049729321.1	978	800	0.182004	0.000000	pass
Suncus_etruscus|XP_049622744.1	978	803	0.178937	0.000000	pass
Budorcas_taxicolor|XP_052519536.1	978	810	0.171779	0.000000	pass
Apodemus_sylvaticus|XP_052027647.1	978	805	0.176892	0.000000	pass
Antechinus_flavipes|XP_051840427.1	978	806	0.175869	0.000000	pass
Acomys_russatus|XP_050998310.1	978	805	0.176892	0.000000	pass
Macaca_thibetana_thibetana|XP_050633586.1	978	805	0.176892	0.000000	pass
Peromyscus_californicus_insignis|XP_052600713.1	978	805	0.176892	0.000000	pass
Canis_lupus_dingo|XP_025292925.3	978	804	0.177914	0.000000	pass
Marmota_marmota_marmota|XP_048652301.1	978	817	0.164622	0.000000	pass
Myodes_glareolus|XP_048296586.1	978	812	0.169734	0.000000	pass
Perognathus_longimembris_pacificus|XP_048192746.1	978	805	0.176892	0.000000	pass
Meles_meles|XP_045850934.1	978	852	0.128834	0.000000	pass
Ursus_americanus|XP_045661026.1	978	805	0.176892	0.000000	pass
Phyllostomus_hastatus|XP_045711877.1	978	805	0.176892	0.000000	pass
Pipistrellus_kuhlii|XP_036295422.1	978	803	0.178937	0.000000	pass
Leopardus_geoffroyi|XP_045327193.1	978	805	0.176892	0.000000	pass
Echinops_telfairi|XP_004710002.2	978	824	0.157464	0.000000	pass
Bubalus_bubalis|XP_006041602.1	978	803	0.178937	0.000000	pass
Jaculus_jaculus|XP_004671523.1	978	805	0.176892	0.000000	pass
Neomonachus_schauinslandi|XP_021536480.1	978	805	0.176892	0.000000	pass
Neogale_vison|XP_044091953.1	978	805	0.176892	0.000000	pass
Dromiciops_gliroides|XP_043850607.1	978	807	0.174847	0.000000	pass
Cervus_elaphus|XP_043752042.1	978	804	0.177914	0.000000	pass
Prionailurus_bengalensis|XP_043425608.1	978	805	0.176892	0.000000	pass
Cervus_canadensis|XP_043314478.1	978	804	0.177914	0.000000	pass
Panthera_tigris|XP_042830021.1	978	805	0.176892	0.000000	pass
Orycteropus_afer_afer|XP_007951028.1	978	799	0.183027	0.000000	pass
Dipodomys_spectabilis|XP_042536456.1	978	805	0.176892	0.000000	pass
Arvicola_amphibius|XP_038172229.1	978	804	0.177914	0.000000	pass
Vulpes_lagopus|XP_041597789.1	978	804	0.177914	0.000000	pass
Microtus_oregoni|XP_041495910.1	978	804	0.177914	0.000000	pass
Ochotona_curzoniae|XP_040857138.1	978	805	0.176892	0.000000	pass
Mesocricetus_auratus|XP_005074266.1	978	805	0.176892	0.000000	pass
Ursus_maritimus|XP_040490052.1	978	805	0.176892	0.000000	pass
Oryx_dammah|XP_040122515.1	978	804	0.177914	0.000000	pass
Ornithorhynchus_anatinus|XP_001515597.2	978	806	0.175869	0.000000	pass
Hyaena_hyaena|XP_039089863.1	978	805	0.176892	0.000000	pass
Tachyglossus_aculeatus|XP_038612998.1	978	804	0.177914	0.000000	pass
Cebus_imitator|XP_017367866.1	978	805	0.176892	0.001022	pass
Choloepus_didactylus|XP_037678579.1	978	803	0.178937	0.000000	pass
Peromyscus_leucopus|XP_028743609.1	978	805	0.176892	0.000000	pass
Balaenoptera_musculus|XP_036696353.1	978	804	0.177914	0.000000	pass
Trichosurus_vulpecula|XP_036600738.1	978	807	0.174847	0.000000	pass
Myotis_myotis|XP_036161734.1	978	819	0.162577	0.000000	pass
Molossus_molossus|XP_036127493.1	978	804	0.177914	0.000000	pass
Rousettus_aegyptiacus|XP_015974412.2	978	805	0.176892	0.000000	pass
Onychomys_torridus|XP_036030683.1	978	805	0.176892	0.000000	pass
Lynx_canadensis|XP_030160839.1	978	805	0.176892	0.000000	pass
Phyllostomus_discolor|XP_035872276.1	978	806	0.175869	0.000000	pass
Zalophus_californianus|XP_027465354.1	978	806	0.175869	0.000000	pass
Cricetulus_griseus|XP_027288607.1	978	805	0.176892	0.000000	pass
Mirounga_leonina|XP_034852450.1	978	805	0.176892	0.000000	pass
Ailuropoda_melanoleuca|XP_034505781.1	978	705	0.279141	0.000000	gap_heavy
Fukomys_damarensis|XP_010643477.1	978	805	0.176892	0.000000	pass
Trachypithecus_francoisi|XP_033056809.1	978	805	0.176892	0.002045	pass
Rattus_rattus|XP_032746145.1	978	793	0.189162	0.000000	pass
Lontra_canadensis|XP_032736029.1	978	805	0.176892	0.000000	pass
Phocoena_sinus|XP_032476004.1	978	804	0.177914	0.000000	pass
Camelus_ferus|XP_006194263.1	978	805	0.176892	0.000000	pass
Phoca_vitulina|XP_032245506.1	978	805	0.176892	0.000000	pass
Mustela_erminea|XP_032187679.1	978	805	0.176892	0.000000	pass
Sapajus_apella|XP_032141855.1	978	805	0.176892	0.000000	pass
Sarcophilus_harrisii|XP_031814825.1	978	806	0.175869	0.001022	pass
Piliocolobus_tephrosceles|XP_023054821.1	978	805	0.176892	0.000000	pass
Papio_anubis|XP_021788733.1	978	805	0.176892	0.000000	pass
Mastomys_coucha|XP_031226742.1	978	806	0.175869	0.000000	pass
Rhinopithecus_roxellana|XP_010364367.2	978	805	0.176892	0.000000	pass
Nomascus_leucogenys|XP_003261132.2	978	805	0.176892	0.000000	pass
Delphinapterus_leucas|XP_022418360.1	978	804	0.177914	0.000000	pass
Suricata_suricatta|XP_029786256.1	978	805	0.176892	0.000000	pass
Nannospalax_galili|XP_008839098.1	978	804	0.177914	0.000000	pass
Mus_pahari|XP_021043935.1	978	805	0.176892	0.000000	pass
Mus_caroli|XP_021009138.1	978	805	0.176892	0.000000	pass
Monodon_monoceros|XP_029095808.1	978	804	0.177914	0.000000	pass
Grammomys_surdaster|XP_028617962.1	978	805	0.176892	0.000000	pass
Eumetopias_jubatus|XP_027970822.1	978	806	0.175869	0.000000	pass
Vombatus_ursinus|XP_027691156.1	978	809	0.172802	0.000000	pass
Tupaia_chinensis|XP_006164754.1	978	805	0.176892	0.000000	pass
Bos_indicus_x_Bos_taurus|XP_027389728.1	978	811	0.170757	0.000000	pass
Microtus_ochrogaster|XP_005358818.1	978	804	0.177914	0.000000	pass
Puma_concolor|XP_025790417.1	978	805	0.176892	0.000000	pass
Theropithecus_gelada|XP_025227847.1	978	805	0.176892	0.000000	pass
Pteropus_alecto|XP_006911709.1	978	805	0.176892	0.000000	pass
Neophocaena_asiaeorientalis_asiaeorientalis|XP_024599894.1	978	804	0.177914	0.000000	pass
Myotis_lucifugus|XP_023609438.1	978	819	0.162577	0.000000	pass
Octodon_degus|XP_023575316.1	978	831	0.150307	0.000000	pass
Otolemur_garnettii|XP_003791912.1	978	805	0.176892	0.000000	pass
Carlito_syrichta|XP_008062810.1	978	805	0.176892	0.000000	pass
Heterocephalus_glaber|XP_004866157.1	978	805	0.176892	0.000000	pass
Hipposideros_armiger|XP_019522954.1	978	806	0.175869	0.000000	pass
Rhinopithecus_bieti|XP_017744070.1	978	724	0.259714	0.000000	gap_heavy
Miniopterus_natalensis|XP_016058453.1	978	804	0.177914	0.000000	pass
Myotis_davidii|XP_015426918.1	978	819	0.162577	0.000000	pass
Myotis_brandtii|XP_014399781.1	978	819	0.162577	0.000000	pass
Dipodomys_ordii|XP_012887572.1	978	805	0.176892	0.000000	pass
Condylura_cristata|XP_012585871.1	978	800	0.182004	0.000000	pass
Propithecus_coquereli|XP_012494186.1	978	826	0.155419	0.000000	pass
Odobenus_rosmarus_divergens|XP_004415448.1	978	732	0.251534	0.000000	gap_heavy
Cercocebus_atys|XP_011891201.1	978	805	0.176892	0.000000	pass
Mandrillus_leucophaeus|XP_011850923.1	978	805	0.176892	0.000000	pass
Lipotes_vexillifer|XP_007466389.1	978	804	0.177914	0.000000	pass
Chrysochloris_asiatica|XP_006835673.1	978	799	0.183027	0.000000	pass
Elephantulus_edwardii|XP_006892457.1	978	798	0.184049	0.000000	pass
